"veg","distance","area","lat_dist","wood","fine","gravel","cobble","rock","shade_1","shade_2","shade_3","shade_4","shade_5","shade_6","shade_7","shade_8","shade_9","shade_10","shade_11","shade_12"
0,3400,10979.8166401237,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3400,8988.98414412141,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3500,11279.0460201502,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3500,8689.76165927947,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3600,11451.9821154922,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3600,8517.03265368938,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3700,11394.7561887354,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3700,8574.34962642193,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3800,11087.1686274707,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3800,8881.92245517671,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3900,9409.87431895733,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3900,10559.1058455557,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4000,10142.5897310078,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4000,9826.41683889925,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4100,11048.7790416777,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4100,8919.83981499076,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4200,11818.123668775,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4200,8150.22649154067,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4300,12551.3525214791,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4300,7416.85944341123,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4400,13183.2085979581,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4400,6783.94232231379,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,4500,13674.8902199119,-500,0.12,0,0,0,0,0.33,0.3,0.27,0.23,0.22,0.22,0.22,0.23,0.25,0.29,0.32,0.34
0,4500,6291.47497169673,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,4600,13998.1896443218,-500,0.11,0,0,0,0,0.52,0.43,0.36,0.31,0.29,0.29,0.29,0.3,0.34,0.4,0.49,0.55
0,4600,5966.12695668638,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,4700,14443.8564486504,-500,0.06,0,0,0,0,0.31,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.29,0.33
0,4700,5516.31965523958,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,4800,14235.1975735277,-500,0.05,0,0,0,0,0.07,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.06,0.09
0,4800,5726.71128332615,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,4900,13876.1058635116,-500,0.14,0,0,0,0,0.53,0.51,0.49,0.48,0.48,0.47,0.47,0.48,0.49,0.5,0.53,0.54
0,4900,6089.14637485147,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,5000,13513.3782553375,-500,0.01,0,0,0,0,0.09,0.1,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.09
0,5000,6453.28484676033,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5100,13037.4276024103,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5100,6930.01199875772,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5200,7468.38293641806,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5200,12499.9256924838,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5300,7986.7828900665,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5300,11981.2913854495,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5400,8394.62626813725,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5400,11573.640538536,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5500,9000.70459435135,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5500,10968.3998210207,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5600,9353.07058603689,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5600,10616.0879925899,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,5700,9696.33362930641,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,5700,10272.7856145985,-500,0.04,0,0,0,0,0.09,0.11,0.14,0.16,0.18,0.18,0.18,0.17,0.15,0.12,0.09,0.09
0.06,5800,10066.656060949,500,0.09,0,0,0,0,0.43,0.38,0.34,0.31,0.29,0.29,0.29,0.3,0.32,0.36,0.41,0.44
0.06,5800,9902.45416045561,-500,0.21,0,0,0,0,0.46,0.5,0.53,0.56,0.58,0.58,0.58,0.57,0.54,0.51,0.47,0.46
0.02,5900,10482.1367921382,500,0.06,0,0,0,0,0.22,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.23
0.19,5900,9487.02153647318,-500,0.24,0,0,0,0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
0.02,6000,10941.2178672813,500,0.09,0,0,0,0,0.49,0.45,0.42,0.4,0.39,0.39,0.39,0.4,0.41,0.43,0.47,0.5
0.32,6000,9027.94632148743,-500,0.19,0,0,0,0,0.87,0.85,0.82,0.79,0.77,0.76,0.76,0.78,0.81,0.84,0.86,0.88
0.05,6100,11428.0823553428,500,0.19,0,0,0,0,0.68,0.65,0.63,0.61,0.6,0.59,0.59,0.6,0.62,0.64,0.67,0.69
0.34,6100,8540.91146785021,-500,0.18,0,0,0,0,0.57,0.54,0.53,0.52,0.53,0.54,0.53,0.53,0.52,0.53,0.56,0.58
0.05,6200,11926.7042623907,500,0.17,0,0,0,0,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.58,0.59,0.59,0.59,0.59
0.37,6200,8041.80793460459,-500,0.2,0,0,0,0,0.99,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.98,0.99
0,6300,12581.6441060826,500,0.01,0,0,0,0,0.14,0.09,0.07,0.05,0.04,0.03,0.03,0.04,0.06,0.08,0.12,0.16
0.48,6300,7385.1728239283,-500,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,6400,13122.3495678082,500,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.02
0.48,6400,6843.08156012744,-500,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.48,6500,6386.91718682647,-500,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,6500,13578.3878042847,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,6600,5983.15552746505,-500,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,6600,13982.3798077032,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,6700,14146.3125595599,500,0.02,0,0,0,0,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.11,0.11
0.48,6700,5818.64770069718,-500,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
